type,director,cast,date_added,year_added,release_year,duration,listed_in,Type,Netflix Exclusive,Score
Movie,Brian De Palma,"Sissy Spacek, Piper Laurie, Amy Irving, William Katt, John Travolta, Nancy Allen, Betty Buckley, P.J. Soles, Priscilla Pointer, Sydney Lassick, Stefan Gierasch, Michael Talbott, Doug Cox, Harry Gold, Noelle North","June 1, 2019",2019,1976,98 min,"Classic Movies, Cult Movies, Horror Movies",,,
Movie,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges","September 5, 2017",2017,2016,98 min,"Comedies, Dramas",,,
Movie,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni, Kiernan Shipka, Ron McClary, Mark Moses","November 20, 2019",2019,2009,85 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers",,,
Movie,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","November 14, 2012",2012,2012,84 min,Comedies,,,
Movie,Hubert Woroniecki,,"January 13, 2017",2017,2016,82 min,"Documentaries, International Movies",,,
Movie,Wong Jing,Wong Jing,"August 1, 2018",2018,1992,125 min,"Action & Adventure, Dramas, International Movies",,,
Movie,Wong Jing,Dennis Chan,"August 16, 2018",2018,1992,108 min,"Action & Adventure, Dramas, International Movies",,,
Movie,Kitty Green,,"April 28, 2017",2017,2017,81 min,Documentaries,,,
Movie,Richard Brooks,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor","November 1, 2019",2019,1958,108 min,"Classic Movies, Dramas",,,
Movie,Steven Spielberg,"Leonardo DiCaprio, Tom Hanks, Christopher Walken, Martin Sheen, Nathalie Baye, Amy Adams, James Brolin, Brian Howe, Frank John Hughes, Steve Eastin","January 1, 2020",2020,2002,142 min,Dramas,,,
Movie,Kagiso Lediga,"Kagiso Lediga, Pearl Thusi, Akin Omotoso, Andrew Buckland","May 18, 2018",2018,2018,117 min,"Comedies, International Movies, Romantic Movies",,,
Movie,Shalini Kantayya,,"April 22, 2016",2016,2015,74 min,Documentaries,,,
Movie,Onur Tukel,"Sandra Oh, Anne Heche, Alicia Silverstone, Amy Hill, Myra Lucretia Taylor, Ariel Kavoussi, Damian Young, Stephen Gevedon, Giullian Yao Gioiello, Tituss Burgess","June 1, 2017",2017,2016,96 min,"Comedies, Independent Movies",,,
Movie,Brad Peyton,"James Marsden, Nick Nolte, Christina Applegate, Katt Williams, Bette Midler, Neil Patrick Harris, Sean Hayes, Wallace Shawn, Roger Moore, Joe Pantoliano, Michael Clarke Duncan, Chris O'Donnell, Jack McBrayer, Kiernan Shipka","February 1, 2019",2019,2010,82 min,"Children & Family Movies, Comedies",,,
Movie,"Aaron Hancox, Michael McNamara",,"January 7, 2019",2019,2018,75 min,"Documentaries, International Movies",,,
Movie,Henrik Martin Dahlsbakken,"Heidi Toini, Benjamin Helstad, Mads Sjogard Pettersen, Ingar Helge Gimle","June 15, 2017",2017,2016,77 min,"Action & Adventure, International Movies, Thrillers",,,
Movie,Troy Miller,Cedric the Entertainer,"September 16, 2016",2016,2016,60 min,Stand-Up Comedy,,,
Movie,Pascal Amanfo,"Kanayo O. Kanayo, Tonto Dikeh, Jackie Appiah, Odunlade Adekola, Toyin Aimakhu, Osita Iheme, Francis Odega, Calista Okoronkwo, Susan Peters, Roselyn Ngissah","December 6, 2019",2019,2017,107 min,"Dramas, International Movies",,,
Movie,Shivendra Singh Dungarpur,P.K. Nair,"April 1, 2017",2017,2012,156 min,"Documentaries, International Movies",,,
Movie,Nicholas Hytner,"Amanda Schull, Zoe Saldana, Susan May Pratt, Peter Gallagher, Donna Murphy, Debra Monk, Ethan Stiefel, Sascha Radetsky, Julie Kent, Ilia Kulik","January 1, 2020",2020,2000,116 min,Dramas,,,
Movie,Mahesh Bhatt,"Naseeruddin Shah, Shah Rukh Khan, Pooja Bhatt, Anupam Kher, Ramya Krishnan, Avtar Gill, Mushtaq Khan","May 1, 2017",2017,1996,148 min,"Dramas, International Movies, Romantic Movies",,,
Movie,Harry Baweja,Om Puri,"November 1, 2018",2018,2014,126 min,"Dramas, Faith & Spirituality, International Movies",,,
Movie,,Anand,"September 1, 2017",2017,1976,135 min,"Comedies, International Movies, Romantic Movies",,,
Movie,Prakash Balwant Saini,"Deepak Dobriyal, Tarun Bajaj, Keeya Khanna, Varun Mehra, Sanjay Mishra, Yashpal Sharma, Mukesh Tiwari, Atul Srivastava, Manish Khanna, Kunwar Aziz","December 1, 2018",2018,2014,110 min,"Comedies, Dramas, International Movies",,,
Movie,Aatmaram Dharne,Nagesh Bhonsle,"March 15, 2018",2018,2010,129 min,"Comedies, Dramas, International Movies",,,
Movie,David Dhawan,"Sanjay Dutt, Salman Khan, Karisma Kapoor, Dalip Tahil, Sushma Seth, Shakti Kapoor, Nagma, Sonali Bendre, Twinkle Khanna, Ravi Baswani","December 31, 2019",2019,2000,132 min,"Comedies, International Movies, Romantic Movies",,,
Movie,Umer Adil,"Syra Shehroz, Kent S. Leung, Osama Tahir, Mansha Pasha, Zhalay Sharhadi, Faris Khalid, Behroze Sabzwari, Shamim Hilaly","May 15, 2018",2018,2017,118 min,"Comedies, Dramas, International Movies",,,
Movie,Aziz Mirza,"Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah, Rajiv Verma, Lillete Dubey, Jayshree T., Johny Lever","July 1, 2018",2018,2003,166 min,"Dramas, International Movies, Romantic Movies",,,
Movie,Rajiv Mehra,"Shah Rukh Khan, Naseeruddin Shah, Urmila Matondkar, Malvika Tiwari, Shammi Kapoor, Deven Verma, Tinnu Anand, Anjana Mumtaz, Anjan Srivastav, Rakesh Bedi","May 15, 2017",2017,1992,164 min,"Comedies, International Movies, Sci-Fi & Fantasy",,,
Movie,Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna, Yashpal Sharma, Makrand Deshpande, Kabir Sadanand, Pankaj Jha","February 15, 2019",2019,2004,102 min,"Dramas, International Movies",,,
Movie,Ken Ghosh,"Shahid Kapoor, Genelia D'Souza, Mohnish Bahl, Satish Shah, Parikshat Sahni, Vikas Bhalla, Kurush Deboo, Zain Khan","November 1, 2018",2018,2009,121 min,"Comedies, Dramas, International Movies",,,
Movie,Arne Birkenstock,K.G. Chandani Renuka Ratnayake,"March 1, 2017",2017,2010,87 min,"Documentaries, International Movies",,,
Movie,Garin Nugroho,"Chicco Jerikho, Pevita Pearce","January 5, 2019",2019,2016,86 min,"Dramas, International Movies, Romantic Movies",,,
Movie,John Curran,"Jason Clarke, Kate Mara, Ed Helms, Bruce Dern, Jim Gaffigan, Olivia Thirlby, Clancy Brown, Taylor Nichols, John Fiore","October 1, 2018",2018,2017,106 min,Dramas,,,
Movie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede","January 1, 2019",2019,2015,121 min,"Action & Adventure, Sci-Fi & Fantasy",,,
Movie,Tim Burton,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter, Noah Taylor, Missi Pyle, James Fox, Deep Roy, Christopher Lee, Adam Godley, AnnaSophia Robb, Julia Winter, Jordan Fry, Philip Wiegratz","January 1, 2020",2020,2005,115 min,"Children & Family Movies, Comedies",,,
Movie,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bill Murray, Sam Rockwell, Kelly Lynch, Tim Curry, Crispin Glover, Matt LeBlanc, LL Cool J, Tom Green, Luke Wilson","October 1, 2019",2019,2000,98 min,"Action & Adventure, Comedies",,,
Movie,McG,"Cameron Diaz, Drew Barrymore, Lucy Liu, Bernie Mac, Crispin Glover, Justin Theroux, Robert Patrick, Demi Moore, Rodrigo Santoro, Shia LaBeouf, Matt LeBlanc, Luke Wilson, John Cleese","October 1, 2019",2019,2003,106 min,"Action & Adventure, Comedies",,,
Movie,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden","November 23, 2019",2019,1973,94 min,"Children & Family Movies, Classic Movies",,,
Movie,David Dhawan,"Ali Zafar, Siddharth, Divyendu Sharma, Tapsee Pannu, Rishi Kapoor, Anupam Kher, Bharati Achrekar, Varun Dhawan, Lillete Dubey, Ayaz Khan, Ashish Verma","May 1, 2017",2017,2013,121 min,"Comedies, International Movies, Music & Musicals",,,
Movie,Kevin Smith,"Ben Affleck, Joey Lauren Adams, Jason Lee, Dwight Ewell, Jason Mewes, Kevin Smith","January 1, 2020",2020,1997,113 min,"Comedies, Cult Movies, Dramas",,,
Movie,Jeff Orlowski,,"July 14, 2017",2017,2017,89 min,Documentaries,,,
Movie,John Scheinfeld,"Denzel Washington, Bill Clinton, Ravi Coltrane, Common, Benny Golson, Jimmy Heath, Wynton Marsalis, Sonny Rollins, Carlos Santana, Cornel West","November 13, 2017",2017,2016,99 min,"Documentaries, Music & Musicals",,,
Movie,"Wong Jing, Jason Kwan","Donnie Yen, Andy Lau, Philip Keung, Kent Cheng, Wilfred Lau, Ken Tong, Yu Kang","April 19, 2018",2018,2017,129 min,"Action & Adventure, Dramas, International Movies",,,
Movie,Guilherme Fontes,"Marco Ricca, Andrea Beltrão, Letícia Sabatella, Leandra Leal, Gabriel Braga Nunes, Paulo Betti, Marcos Oliveira, Eliane Giardini","October 1, 2016",2016,2015,105 min,"Dramas, International Movies",,,
Movie,Gurvinder Singh,"Suvinder Vikky, Rajbir Kaur, Gurpreet Kaur Bhangu, Taranjit Singh, Harleen Kaur, Kanwaljeet Singh, Harnek Aulakh, Tejpal Singh, Gulshan Saggi","February 1, 2017",2017,2015,116 min,"Dramas, Independent Movies, International Movies",,,
Movie,James Yukich,Chelsea Handler,"October 10, 2014",2014,2014,71 min,Stand-Up Comedy,,,
Movie,Lance Bangs,Chelsea Peretti,"November 14, 2014",2014,2014,75 min,Stand-Up Comedy,,,
Movie,Rohit Shetty,"Shah Rukh Khan, Deepika Padukone, Nikitin Dheer, Satyaraj, Kamini Kaushal, Lekh Tandon, Mukesh Tiwari","August 31, 2018",2018,2013,135 min,"Action & Adventure, Comedies, International Movies",,,
Movie,Bradley Parker,"Ingrid Bolsø Berdal, Dimitri Diatchenko, Olivia Taylor Dudley, Devin Kelley, Jesse McCartney, Nathan Phillips, Jonathan Sadowski, Alex Feldman, Kristof Konrad, Pasha D. Lychnikoff","August 1, 2018",2018,2012,88 min,"Horror Movies, Thrillers",,,
Movie,"Sidheswar Shukla, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju","May 10, 2019",2019,2018,63 min,Movies,,,
Movie,"Asit Mohapatra, Shyamal Chaulia","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju","May 10, 2019",2019,2018,62 min,Children & Family Movies,,,
Movie,"Shyamal Chaulia, Asit Mohapatra","Julie Tejwani, SABINA MALIK, Jigna Bharadhwaj, Rupa Bhimani, Lalit Agarwal, Rajesh Shukla, Disha, Rajesh Kawa, Raju","May 10, 2019",2019,2018,62 min,Movies,,,
Movie,"Rajiv Chilaka, Binayak Das","Sonal Kaushal, Rupa Bhimani, Jigna Bharadhwaj, Sabina Malik, Julie Tejwani, Rajesh Kava, Vaibhav Thakkar, Samriddhi Shuklaa, Aditya Raj Sharma, Vinod Kulkarni","August 15, 2019",2019,2019,112 min,Children & Family Movies,,,
Movie,Anuranjan Premji,"Anuranjan Premji, Indrans, Dharmajan Bolgatty, Sudhi Koppa, Bijukuttan, Neha Rathanakaran, Prasanth","July 1, 2018",2018,2017,113 min,"Comedies, International Movies",,,
Movie,Mark Dindal,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn","March 16, 2016",2016,2005,82 min,"Children & Family Movies, Comedies",,,
Movie,Niyi Akinmolayan,"Taiwo Obileye, Joke Silva, Falz The Bahd Guy, Dakore Akande, Funke Akindele, Zainab Balogun, Shaffy Bello, Ini Edo, Linda Ihuoma-Suleiman, Mawuli Gavor, Richard Mofe-Damijo, Rachael Oniga, Nkem Owoh, Patience Ozokwor","March 15, 2019",2019,2018,98 min,"Comedies, Dramas, International Movies",,,
Movie,Tom Holland,"Catherine Hicks, Alex Vincent, Brad Dourif, Chris Sarandon, Dinah Manoff, Tommy Swerdlow, Jack Colvin, Neil Giuntoli, Juan Ramírez, Alan Wilder","December 31, 2019",2019,1988,87 min,"Cult Movies, Horror Movies",,,
Movie,John Smithson,,"August 1, 2016",2016,1994,63 min,Documentaries,,,
Movie,"Vikas Bahl, Nitesh Tiwari","Irfan Khan, Raju, Sanath Menon, Rohan Grover, Naman Jain, Aarav Khanna, Vishesh Tiwari, Chinmai Chandranshuh, Vedant Desai, Shriya Sharma, Divji Handa","August 2, 2018",2018,2011,127 min,"Children & Family Movies, Comedies, Dramas",,,
Movie,Tan Bing,"Li Dong Xue, Mike Tyson, Steven Seagal, Janicke Askevold, Li Ai, Eriq Ebouaney, Clovis Fouin, Wang Zijian","September 24, 2018",2018,2017,111 min,"Action & Adventure, International Movies",,,
Movie,Luis Lopez,Chingo Bling,"June 1, 2017",2017,2017,63 min,Stand-Up Comedy,,,
Movie,Bedabrata Pain,"Manoj Bajpayee, Barry John, Delzad Hiwale, Vega Tamotia, Nawazuddin Siddiqui, Rajkummar Rao, Jaideep Ahlawat, Vijay Varma, Dibyendu Bhattacharya","January 1, 2018",2018,2012,105 min,"Dramas, Independent Movies, International Movies",,,
Movie,Ken Hughes,"Dick Van Dyke, Sally Ann Howes, Lionel Jeffries, Gert Fröbe, Anna Quayle, Benny Hill, James Robertson Justice, Robert Helpmann, Heather Ripley, Adrian Hall, Barbara Windsor, Davy Kaye, Alexander Doré, Bernard Spear, Stanley Unwin","January 1, 2020",2020,1968,146 min,"Children & Family Movies, Classic Movies, Comedies",,,
Movie,Atom Egoyan,"Julianne Moore, Liam Neeson, Amanda Seyfried, Max Thieriot, R.H. Thomson, Nina Dobrev, Laura de Carteret, Mishu Vellani","January 1, 2020",2020,2009,96 min,"Independent Movies, Thrillers",,,
Movie,Jean-Claude La Marre,"Robert Ri'chard, Darrin Dewitt Henson, Ginuwine, Gilbert Saldivar, Keith Carlos, Michael Bolwaire, Willie Taylor, Michael Jai White, Vivica A. Fox, Mekhi Phifer","August 12, 2017",2017,2017,90 min,Dramas,,,
Movie,Sachin Yardi,"Abhay Deol, Mithila Palkar, Vijay Raaz","May 31, 2019",2019,2019,101 min,"Comedies, Dramas, Independent Movies",,,
Movie,Andrew Sandler,Chris Brown,"October 7, 2017",2017,2017,80 min,"Documentaries, Music & Musicals",,,
Movie,Bill D'Elia,Chris D'Elia,"April 17, 2015",2015,2015,84 min,Stand-Up Comedy,,,
Movie,Bill D'Elia,Chris D'Elia,"June 27, 2017",2017,2017,66 min,Stand-Up Comedy,,,
Movie,Bo Burnham,Chris Rock,"February 14, 2018",2018,2018,65 min,Stand-Up Comedy,,,
Movie,Phil Joanou,Chris Tucker,"July 10, 2015",2015,2015,92 min,Stand-Up Comedy,,,
Movie,Corbin Bernsen,"Lacey Chabert, Jonathan Patrick Moore, Saidah Arrika Ekulona, Stephen Tobolowsky, John O'Hurley, David Keith, Morgan Fairchild, Corbin Bernsen","June 6, 2019",2019,2014,99 min,"Comedies, Faith & Spirituality, Romantic Movies",,,
Movie,Jay Karas,Christina Pazsitzky,"October 10, 2017",2017,2017,59 min,Stand-Up Comedy,,,
Movie,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith","May 16, 2017",2017,2016,119 min,"Dramas, Independent Movies",,,
Movie,Michael Kampa,"Danny Glover, Denise Richards, Cameron Seely, Sean O'Bryan, Katrina Begin, Jake Van Wagoner, Douglas Spain, Dawson Ehlke","November 1, 2019",2019,2019,87 min,"Children & Family Movies, Comedies",,,
Movie,Marita Grabiak,"Rachel Boston, Jonathan Bennett, Jon Prescott, Sunny Mabrey, Julia Voth, Elizabeth Lauren Hoffman, Eileen April Boylan, Josh Crotty","November 4, 2019",2019,2012,87 min,"Comedies, Romantic Movies",,,
Movie,Ernie Barbarash,"Eliza Taylor, Jake Lacy, Andie MacDowell, Michael Xavier, Neil Crone, Anthony Sherwood, Joanna Douglas, Martin Roach","December 15, 2017",2017,2017,105 min,"Dramas, International Movies, Romantic Movies",,,
Movie,James Dearden,"Julian Ovenden, Gemma Whelan, Joely Richardson, Michael Landes, Sally Phillips, Patricia Hodge, Ronni Ancona, James Fox, Sophie Simnett, Jade Ma","November 1, 2019",2019,2018,101 min,Comedies,,,
Movie,Justin G. Dyck,"Stephen Huszar, Kelly Rutherford","November 15, 2018",2018,2017,86 min,"Comedies, International Movies, Romantic Movies",,,
Movie,Justin G. Dyck,"Scott Cavalheiro, Kaitlyn Leeb, Vivica A. Fox, Patrick Duffy, Jess Walton, Mark Ghanimé","November 1, 2018",2018,2018,91 min,"International Movies, Romantic Movies",,,
Movie,Harvey Lowry,"Sierra McCormick, Brighton Sharbino, Bo Derek, Shelley Long, Christopher Rich, JoeDon Rooney, Tiffany Fallon, Paula Trickey, Christian Kane","November 1, 2019",2019,2017,112 min,Dramas,,,
Movie,Gary Wheeler,"Sarah Lancaster, Barry Corbin, Alan Powell, Jill Wagner, Danny Vinson, Gregory Alan Williams, Rebecca Koon, Brett Rice","March 1, 2019",2019,2015,88 min,"Children & Family Movies, Dramas, Romantic Movies",,,
Movie,Joe Roth,"Tim Allen, Jamie Lee Curtis, Dan Aykroyd, Erik Per Sullivan, Cheech Marin, Jake Busey, M. Emmet Walsh, Kevin Chamberlin, Elizabeth Franz, René Lavan","January 1, 2019",2019,2004,99 min,"Children & Family Movies, Comedies",,,
Movie,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi","March 5, 2019",2019,2018,104 min,"Children & Family Movies, Comedies, Dramas",,,
Movie,Israel Adrián Caetano,"Rodrigo de la Serna, Pablo Echarri, Nazareno Casero, Lautaro Delgado, Matías Marmorato, Martín Urruty, César Albarracín, Guillermo Fernandez, Daniel Di Biase","June 15, 2018",2018,2006,104 min,"Dramas, International Movies, Thrillers",,,
Movie,"Priyadarshan, Kookie V. Gulati","Shahid Kapoor, Kareena Kapoor, Om Puri, Neha Dhupia, Sunil Shetty, Paresh Rawal, Rajpal Yadav, Shakti Kapoor","November 1, 2018",2018,2006,158 min,"Comedies, Dramas, International Movies",,,
Movie,Mohsin Ali,"Ahsan Khan, Neelam Muneer, Faizan Khawaja, Ali Rizvi, Vajdaan Shah, Zayed Sheikh, Talat Hussain, Javed Sheikh","January 15, 2019",2019,2017,118 min,"Comedies, International Movies",,,
Movie,Hrishikesh Mukherjee,"Dharmendra, Sharmila Tagore, Amitabh Bachchan, Jaya Bhaduri, Om Prakash, Asrani, David Abraham, Usha Kiran, Lily Chakravarty, Keshto Mukherjee","December 31, 2019",2019,1975,127 min,"Classic Movies, Comedies, International Movies",,,
Movie,"Aaron Hann, Mario Miscione","Julie Benz, Mercy Malick, Carter Jenkins, Molly Jackson, Michael Nardelli, Sara Sanderson, Kevin Sheridan, Cesar Garcia, Lisa Pelikan, Zachary James Rukavina, Lawrence Kao, Jordi Vilasuso, Kaiwi Lyman-Mersereau, Michael McLafferty, Allegra Masters, Autumn Federici, John Edward Lee, Matt Corboy","October 16, 2015",2015,2015,86 min,"Dramas, Independent Movies, Sci-Fi & Fantasy",,,
Movie,Paul Weitz,"John C. Reilly, Ken Watanabe, Josh Hutcherson, Chris Massoglia, Ray Stevenson, Patrick Fugit, Orlando Jones, Willem Dafoe, Salma Hayek, Michael Cerveris, Jane Krakowski, Frankie Faison, Patrick Breen, Colleen Camp, Don McManus, Jessica Carlson, Kristen Schaal","April 16, 2018",2018,2009,109 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",,,
Movie,Wi Ding Ho,"Jack Kao, Lee Hong-chi, Louise Grinberg, Huang Lu, Ding Ning","July 12, 2019",2019,2018,106 min,"Dramas, Independent Movies, International Movies",,,
Movie,"Fernando Meirelles, Katia Lund","Alexandre Rodrigues, Leandro Firmino, Phellipe Haagensen, Douglas Silva, Jonathan Haagensen, Matheus Nachtergaele, Seu Jorge, Jefechander Suplino, Alice Braga","January 1, 2020",2020,2002,130 min,"Dramas, Independent Movies, International Movies",,,
Movie,"Cavi Borges, Luciano Vidigal",,"May 7, 2018",2018,2013,69 min,"Documentaries, International Movies",,,
Movie,Madeleine Gavin,,"September 7, 2018",2018,2018,77 min,Documentaries,,,
Movie,Pete Travis,"Riz Ahmed, Billie Piper, James Floyd, Cush Jumbo, Roshan Seth, Hannah Rae, Antonio Aakeel, George Sargeant, Alexander Siddig, Vincent Regan, Barry Aird","July 21, 2017",2017,2016,110 min,"Dramas, International Movies, Thrillers",,,
Movie,Yesim Ustaoglu,"Funda Eryiğit, Ecem Uzun, Mehmet Kurtulus, Okan Yalabik, Serkan Keskin, Sema Poyraz","October 13, 2017",2017,2016,102 min,"Dramas, International Movies",,,
Movie,Nick Mead,Clarence Clemons,"November 14, 2019",2019,2019,88 min,"Documentaries, Music & Musicals",,,
Movie,Louis Leterrier,"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng, Gemma Arterton, Alexa Davalos, Tine Stapelfeldt, Mads Mikkelsen, Luke Evans","August 1, 2019",2019,2010,106 min,"Action & Adventure, Sci-Fi & Fantasy",,,
Movie,Eric Stoltz,"Olivia Holt, Skyler Gisondo, Kristin Chenoweth, Bruce Dern, Nick Krause, Kathleen Chalfant, Peter Maloney, Rod McLachlan, Hawn Tran, Danni Wang","September 18, 2018",2018,2018,103 min,Comedies,,,
Movie,Gregory Hoblit,"Christien Anholt, Andre Braugher, Dan Futterman, Josh Lucas, Clive Owen, Sophie Ward, Sue-Ann Leeds, Laura Linney","April 1, 2018",2018,1993,91 min,Dramas,,,
Movie,Jack Starrett,"Tamara Dobson, Bernie Casey, BrendaSykes, Esther Rolle, Shelley Winters","November 1, 2019",2019,1973,89 min,"Action & Adventure, Classic Movies",,,
Movie,Frank Coraci,"Adam Sandler, Kate Beckinsale, Christopher Walken, David Hasselhoff, Henry Winkler, Julie Kavner, Sean Astin, Joseph Castanon, Jonah Hill, Jake Hoffman, Jennifer Coolidge","January 1, 2020",2020,2006,108 min,"Comedies, Sci-Fi & Fantasy",,,
Movie,Alistair Legrand,"Vinessa Shaw, Kevin Rahm, William Atherton, Aaron Stanford, Wilmer Calderon, Sydney Tamiia Poitier, India Eisley, Nestor Serrano","January 13, 2017",2017,2017,104 min,"Horror Movies, Thrillers",,,
Movie,Chris Perkel,Clive Davis,"September 17, 2019",2019,2017,124 min,"Documentaries, Music & Musicals",,,
Movie,,"Noomi Rapace, Sophie Nélisse, Indira Varma, George Georgiou, Christopher Sciueref, Eoin Macken","January 18, 2019",2019,2019,95 min,"Action & Adventure, International Movies",,,
Movie,John Crowley,"Eric Bana, Rebecca Hall, Ciarán Hinds, Riz Ahmed, Anne-Marie Duff, Kenneth Cranham, Julia Stiles, Jim Broadbent, Denis Moschitto, Barbora Bobulova, Jemma Powell","October 16, 2017",2017,2013,96 min,"Dramas, Thrillers",,,
Movie,"Lilly Wachowski, Lana Wachowski, Tom Tykwer","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving, Jim Sturgess, Doona Bae, Ben Whishaw, Keith David, James D'Arcy, Zhou Xun","August 1, 2017",2017,2012,172 min,"Action & Adventure, Cult Movies, Dramas",,,
Movie,Olivier Assayas,"Juliette Binoche, Kristen Stewart, Chloë Grace Moretz, Lars Eidinger, Johnny Flynn, Angela Winkler, Hanns Zischler, Brady Corbet","February 12, 2017",2017,2014,124 min,"Dramas, International Movies",,,
Movie,Matt Reeves,"Lizzy Caplan, Jessica Lucas, T.J. Miller, Michael Stahl-David, Mike Vogel, Odette Annable, Anjul Nigam, Margot Farley, Theo Rossi, Brian Klugman","January 1, 2020",2020,2008,85 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",,,
Movie,Marcos Bucay,"Joaquín Ferreira, Marcela Álvarez, Benjamín Alfonso, Emilia Claudeville, Mauricio Llera, Sol Gaschetto, Martín Seefeld, Martín Rocco, Gonzalo VIzán","October 19, 2018",2018,2018,51 min,Movies,,,
Movie,Thomas Carter,"Samuel L. Jackson, Rob Brown, Robert Ri'chard, Rick Gonzalez, Nana Gbewonyo, Antwon Tanner, Channing Tatum, Ashanti, Texas Battle, Denise Dowse, Debbi Morgan","January 1, 2020",2020,2005,137 min,"Dramas, Sports Movies",,,
Movie,"Raúl Campos, Jan Suter","Coco Celis, Raúl Meneses","July 27, 2018",2018,2018,57 min,Stand-Up Comedy,,,
Movie,Les Mayfield,"Cedric the Entertainer, Lucy Liu, Nicollette Sheridan, Mark Dacascos, Callum Keith Rennie, DeRay Davis, Niecy Nash, Will Patton","November 1, 2019",2019,2007,91 min,"Action & Adventure, Comedies",,,
Movie,"Fluvio Iannuci, Roly Santos",,"May 1, 2018",2018,2017,69 min,"Documentaries, International Movies",,,
Movie,Vishal Mishra,"Sunil Grover, Zakir Hussain, Anjana Sukhani, Dipannita Sharma, Pankaj Tripathi, Rajesh Sharma, Vinod Ramani, Guru Singh","November 1, 2017",2017,2017,120 min,"Comedies, Independent Movies, International Movies",,,
Movie,Emily Hagins,"Sasha Pieterse, Alexis G. Zall, Alex Saxon, Jay Walker, Mark Blum, Neal Huff, Michael Cyril Creighton, Blanche Baker, Connor Ratliff, Will Denton","January 6, 2017",2017,2017,98 min,"Children & Family Movies, Dramas",,,
Movie,Robert Moresco,Colin Quinn,"August 9, 2019",2019,2019,66 min,Stand-Up Comedy,,,
Movie,Jerry Seinfeld,Colin Quinn,"November 18, 2016",2016,2016,62 min,Stand-Up Comedy,,,
Movie,Jay Chapman,Colin Quinn,"August 15, 2017",2017,2015,56 min,Stand-Up Comedy,,,
Movie,Saurav Palodhi,"Mir Afsar Ali, Gaurav Chakrabarty, Tanusree Chakraborty, Anirban Bhattacharya, Ritabhari Chakraborty, Suchandra Vaaniya, Arijit Dutt","March 30, 2017",2017,2016,118 min,"Comedies, Dramas, Independent Movies",,,
Movie,Florian Gallenberger,"Emma Watson, Daniel Brühl, Michael Nyqvist, Richenda Carey, Vicky Krieps, Jeanne Werner, Julian Ovenden, August Zirner, Martin Wuttke, Stefan Merki","July 14, 2018",2018,2015,110 min,"Dramas, Independent Movies, International Movies",,,
Movie,Ketan Mehta,"Randeep Hooda, Nandana Sen, Jim Boeven, Paresh Rawal, Tom Alter, Vikram Gokhale, Vipin Sharma, Gaurav Dwivedi","May 25, 2018",2018,2008,114 min,"Dramas, International Movies",,,
Movie,Joshua Marston,"Chiwetel Ejiofor, Martin Sheen, Danny Glover, Jason Segel, Condola Rashad, Lakeith Stanfield, Stacey Sargeant, Vondie Curtis-Hall","April 13, 2018",2018,2018,105 min,"Dramas, Faith & Spirituality, Independent Movies",,,
